code,label
M23.31,Autres atteintes du ménisque - \ Ligament croisé antéroexterne ou Corne antérieure du ménisque interne \
M23.32,Autres atteintes du ménisque - \ Ligament croisé postérieur ou Corne postérieure du ménisque interne \
M23.33,Autres atteintes du ménisque - \ Ligament interne collatéral ou Partie autre et non précisée du ménisque interne \
M23.34,Autres atteintes du ménisque - \ Ligament latéral externe collatéral ou Corne antérieure du ménisque externe \
M23.35,Autres atteintes du ménisque - \ Corne postérieure du ménisque externe \
M23.36,Autres atteintes du ménisque - \ Partie autre et non précisée du ménisque externe \
M23.37,Autres atteintes du ménisque - \ Capsule articulaire \
M23.39,"Autres atteintes du ménisque - \ Ligament, sans précision ou Ménisque, sans précision \"
M23.4,Souris intraarticulaire du genou
M23.40,Souris intraarticulaire du genou - \ Localisations multiples \
M23.41,Souris intraarticulaire du genou - \ Ligament croisé antéroexterne ou Corne antérieure du ménisque interne \
M23.42,Souris intraarticulaire du genou - \ Ligament croisé postérieur ou Corne postérieure du ménisque interne \
M23.43,Souris intraarticulaire du genou - \ Ligament interne collatéral ou Partie autre et non précisée du ménisque interne \
M23.44,Souris intraarticulaire du genou - \ Ligament latéral externe collatéral ou Corne antérieure du ménisque externe \
M23.45,Souris intraarticulaire du genou - \ Corne postérieure du ménisque externe \
M23.46,Souris intraarticulaire du genou - \ Partie autre et non précisée du ménisque externe \
M23.47,Souris intraarticulaire du genou - \ Capsule articulaire \
M23.49,"Souris intraarticulaire du genou - \ Ligament, sans précision ou Ménisque, sans précision \"
M23.5,Instabilité chronique du genou
M23.50,Instabilité chronique du genou - \ Localisations multiples \
M23.51,Instabilité chronique du genou - \ Ligament croisé antéroexterne ou Corne antérieure du ménisque interne \
M23.52,Instabilité chronique du genou - \ Ligament croisé postérieur ou Corne postérieure du ménisque interne \
M23.53,Instabilité chronique du genou - \ Ligament interne collatéral ou Partie autre et non précisée du ménisque interne \
M23.54,Instabilité chronique du genou - \ Ligament latéral externe collatéral ou Corne antérieure du ménisque externe \
M23.55,Instabilité chronique du genou - \ Corne postérieure du ménisque externe \
M23.56,Instabilité chronique du genou - \ Partie autre et non précisée du ménisque externe \
M23.57,Instabilité chronique du genou - \ Capsule articulaire \
M23.59,"Instabilité chronique du genou - \ Ligament, sans précision ou Ménisque, sans précision \"
M23.6,Autres ruptures spontanées de ligament(s) du genou
M23.60,Autres ruptures spontanées de ligament(s) du genou - \ Localisations multiples \
M23.61,Autres ruptures spontanées de ligament(s) du genou - \ Ligament croisé antéroexterne ou Corne antérieure du ménisque interne \
M23.62,Autres ruptures spontanées de ligament(s) du genou - \ Ligament croisé postérieur ou Corne postérieure du ménisque interne \
M23.63,Autres ruptures spontanées de ligament(s) du genou - \ Ligament interne collatéral ou Partie autre et non précisée du ménisque interne \
M23.64,Autres ruptures spontanées de ligament(s) du genou - \ Ligament latéral externe collatéral ou Corne antérieure du ménisque externe \
M23.65,Autres ruptures spontanées de ligament(s) du genou - \ Corne postérieure du ménisque externe \
M23.66,Autres ruptures spontanées de ligament(s) du genou - \ Partie autre et non précisée du ménisque externe \
M23.67,Autres ruptures spontanées de ligament(s) du genou - \ Capsule articulaire \
M23.69,"Autres ruptures spontanées de ligament(s) du genou - \ Ligament, sans précision ou Ménisque, sans précision \"
M23.8,Autres lésions internes du genou
M23.80,Autres lésions internes du genou - \ Localisations multiples \
M23.81,Autres lésions internes du genou - \ Ligament croisé antéroexterne ou Corne antérieure du ménisque interne \
M23.82,Autres lésions internes du genou - \ Ligament croisé postérieur ou Corne postérieure du ménisque interne \
M23.83,Autres lésions internes du genou - \ Ligament interne collatéral ou Partie autre et non précisée du ménisque interne \
M23.84,Autres lésions internes du genou - \ Ligament latéral externe collatéral ou Corne antérieure du ménisque externe \
M23.85,Autres lésions internes du genou - \ Corne postérieure du ménisque externe \
M23.86,Autres lésions internes du genou - \ Partie autre et non précisée du ménisque externe \
M23.87,Autres lésions internes du genou - \ Capsule articulaire \
M23.89,"Autres lésions internes du genou - \ Ligament, sans précision ou Ménisque, sans précision \"
M23.9,"Lésion interne du genou, sans précision"
M23.90,"Lésion interne du genou, sans précision - \ Localisations multiples \"
M23.91,"Lésion interne du genou, sans précision - \ Ligament croisé antéroexterne ou Corne antérieure du ménisque interne \"
M23.92,"Lésion interne du genou, sans précision - \ Ligament croisé postérieur ou Corne postérieure du ménisque interne \"
M24.65,Ankylose articulaire - \ Région pelvienne et cuisse \
M23.93,"Lésion interne du genou, sans précision - \ Ligament interne collatéral ou Partie autre et non précisée du ménisque interne \"
M23.94,"Lésion interne du genou, sans précision - \ Ligament latéral externe collatéral ou Corne antérieure du ménisque externe \"
M23.95,"Lésion interne du genou, sans précision - \ Corne postérieure du ménisque externe \"
M23.96,"Lésion interne du genou, sans précision - \ Partie autre et non précisée du ménisque externe \"
M23.97,"Lésion interne du genou, sans précision - \ Capsule articulaire \"
M23.99,"Lésion interne du genou, sans précision - \ Ligament, sans précision ou Ménisque, sans précision \"
M24,Autres affections articulaires spécifiques
M67.4,Kyste
M24.0,Souris intraarticulaire
M24.00,Souris intraarticulaire - \ Sièges multiples \
M24.01,Souris intraarticulaire - \ Région scapulaire \
M24.02,Souris intraarticulaire - \ Bras \
M24.03,Souris intraarticulaire - \ Avant-bras \
M24.04,Souris intraarticulaire - \ Main \
M24.05,Souris intraarticulaire - \ Région pelvienne et cuisse \
M24.06,Souris intraarticulaire - \ Jambe \
M24.07,Souris intraarticulaire - \ Cheville et pied \
M24.08,Souris intraarticulaire - \ Autres \
M24.09,Souris intraarticulaire - \ Siège non précisé \
M24.1,Autres atteintes du cartilage articulaire
M24.10,Autres atteintes du cartilage articulaire - \ Sièges multiples \
M24.11,Autres atteintes du cartilage articulaire - \ Région scapulaire \
M24.12,Autres atteintes du cartilage articulaire - \ Bras \
M24.13,Autres atteintes du cartilage articulaire - \ Avant-bras \
M24.14,Autres atteintes du cartilage articulaire - \ Main \
M24.15,Autres atteintes du cartilage articulaire - \ Région pelvienne et cuisse \
M24.16,Autres atteintes du cartilage articulaire - \ Jambe \
M24.17,Autres atteintes du cartilage articulaire - \ Cheville et pied \
M24.18,Autres atteintes du cartilage articulaire - \ Autres \
M24.19,Autres atteintes du cartilage articulaire - \ Siège non précisé \
M24.2,Lésion ligamentaire
M35.7,Syndrome d'hypermobilité
M24.20,Lésion ligamentaire - \ Sièges multiples \
M24.21,Lésion ligamentaire - \ Région scapulaire \
M24.22,Lésion ligamentaire - \ Bras \
M24.23,Lésion ligamentaire - \ Avant-bras \
M24.24,Lésion ligamentaire - \ Main \
M24.25,Lésion ligamentaire - \ Région pelvienne et cuisse \
M24.26,Lésion ligamentaire - \ Jambe \
M24.27,Lésion ligamentaire - \ Cheville et pied \
M24.28,Lésion ligamentaire - \ Autres \
M24.29,Lésion ligamentaire - \ Siège non précisé \
M24.3,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs"
Q65-Q79,Malformations congénitales du système ostéoarticulaire et des muscles
M24.30,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Sièges multiples \"
M24.31,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Région scapulaire \"
M24.32,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Bras \"
M24.33,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Avant-bras \"
M24.34,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Main \"
M24.35,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Région pelvienne et cuisse \"
M24.36,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Jambe \"
M24.37,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Cheville et pied \"
M24.38,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Autres \"
M24.39,"Luxation et subluxation pathologiques d''une articulation, non classées ailleurs - \ Siège non précisé \"
M24.40,Luxation et subluxation articulaires récidivantes - \ Sièges multiples \
M24.41,Luxation et subluxation articulaires récidivantes - \ Région scapulaire \
M24.42,Luxation et subluxation articulaires récidivantes - \ Bras \
M24.43,Luxation et subluxation articulaires récidivantes - \ Avant-bras \
M24.44,Luxation et subluxation articulaires récidivantes - \ Main \
M24.45,Luxation et subluxation articulaires récidivantes - \ Région pelvienne et cuisse \
M24.46,Luxation et subluxation articulaires récidivantes - \ Jambe \
M24.47,Luxation et subluxation articulaires récidivantes - \ Cheville et pied \
M24.48,Luxation et subluxation articulaires récidivantes - \ Autres \
M24.49,Luxation et subluxation articulaires récidivantes - \ Siège non précisé \
M24.5,Raideur articulaire par contracture
M67.1,Autres rétractions tendineuses (gaine)
M24.50,Raideur articulaire par contracture - \ Sièges multiples \
M24.51,Raideur articulaire par contracture - \ Région scapulaire \
M24.52,Raideur articulaire par contracture - \ Bras \
M24.53,Raideur articulaire par contracture - \ Avant-bras \
M24.54,Raideur articulaire par contracture - \ Main \
M24.55,Raideur articulaire par contracture - \ Région pelvienne et cuisse \
M24.56,Raideur articulaire par contracture - \ Jambe \
M24.57,Raideur articulaire par contracture - \ Cheville et pied \
M24.58,Raideur articulaire par contracture - \ Autres \
M24.59,Raideur articulaire par contracture - \ Siège non précisé \
M25.6,"Raideur articulaire, non classée ailleurs"
M43.2,Autres soudures vertébrales
M24.60,Ankylose articulaire - \ Sièges multiples \
M24.61,Ankylose articulaire - \ Région scapulaire \
M24.62,Ankylose articulaire - \ Bras \
M24.63,Ankylose articulaire - \ Avant-bras \
M24.67,Ankylose articulaire - \ Cheville et pied \
M24.68,Ankylose articulaire - \ Autres \
M24.69,Ankylose articulaire - \ Siège non précisé \
M24.7,Protrusion acétabulaire
M24.70,Protrusion acétabulaire - \ Sièges multiples \
M24.71,Protrusion acétabulaire - \ Région scapulaire \
M24.72,Protrusion acétabulaire - \ Bras \
M24.73,Protrusion acétabulaire - \ Avant-bras \
M24.74,Protrusion acétabulaire - \ Main \
M24.75,Protrusion acétabulaire - \ Région pelvienne et cuisse \
M24.76,Protrusion acétabulaire - \ Jambe \
M24.77,Protrusion acétabulaire - \ Cheville et pied \
M24.78,Protrusion acétabulaire - \ Autres \
M24.79,Protrusion acétabulaire - \ Siège non précisé \
M24.8,"Autres affections articulaires spécifiques, non classées ailleurs"
M76.3,Syndrome de la bandelette de Maissiat [iliotibiale]
M24.80,"Autres affections articulaires spécifiques, non classées ailleurs - \ Sièges multiples \"
M24.81,"Autres affections articulaires spécifiques, non classées ailleurs - \ Région scapulaire \"
M24.82,"Autres affections articulaires spécifiques, non classées ailleurs - \ Bras \"
M24.83,"Autres affections articulaires spécifiques, non classées ailleurs - \ Avant-bras \"
M24.84,"Autres affections articulaires spécifiques, non classées ailleurs - \ Main \"
M24.85,"Autres affections articulaires spécifiques, non classées ailleurs - \ Région pelvienne et cuisse \"
M24.86,"Autres affections articulaires spécifiques, non classées ailleurs - \ Jambe \"
M24.87,"Autres affections articulaires spécifiques, non classées ailleurs - \ Cheville et pied \"
M24.88,"Autres affections articulaires spécifiques, non classées ailleurs - \ Autres \"
M24.89,"Autres affections articulaires spécifiques, non classées ailleurs - \ Siège non précisé \"
M24.9,"Lésion articulaire, sans précision"
M24.90,"Lésion articulaire, sans précision - \ Sièges multiples \"
M24.91,"Lésion articulaire, sans précision - \ Région scapulaire \"
M24.92,"Lésion articulaire, sans précision - \ Bras \"
M24.93,"Lésion articulaire, sans précision - \ Avant-bras \"
M24.94,"Lésion articulaire, sans précision - \ Main \"
M24.95,"Lésion articulaire, sans précision - \ Région pelvienne et cuisse \"
M24.96,"Lésion articulaire, sans précision - \ Jambe \"
M24.97,"Lésion articulaire, sans précision - \ Cheville et pied \"
M24.98,"Lésion articulaire, sans précision - \ Autres \"
M24.99,"Lésion articulaire, sans précision - \ Siège non précisé \"
M25,"Autres affections articulaires, non classées ailleurs"
M65.2,Tendinite calcifiante
M71.4,Dépôts calciques dans une bourse séreuse
M75.3,Tendinite calcifiante de l'épaule
R26.2,"Difficulté à la marche, non classée ailleurs"
M25.0,Hémarthrose
M25.00,Hémarthrose - \ Sièges multiples \
M25.01,Hémarthrose - \ Région scapulaire \
M25.02,Hémarthrose - \ Bras \
M25.03,Hémarthrose - \ Avant-bras \
M25.04,Hémarthrose - \ Main \
M25.05,Hémarthrose - \ Région pelvienne et cuisse \
M25.06,Hémarthrose - \ Jambe \
M25.07,Hémarthrose - \ Cheville et pied \
M25.08,Hémarthrose - \ Autres \
M25.09,Hémarthrose - \ Siège non précisé \
M25.1,Fistule articulaire
M25.10,Fistule articulaire - \ Sièges multiples \
M25.11,Fistule articulaire - \ Région scapulaire \
M25.12,Fistule articulaire - \ Bras \
M25.13,Fistule articulaire - \ Avant-bras \
M25.14,Fistule articulaire - \ Main \
M25.15,Fistule articulaire - \ Région pelvienne et cuisse \
M25.16,Fistule articulaire - \ Jambe \
M25.17,Fistule articulaire - \ Cheville et pied \
M25.18,Fistule articulaire - \ Autres \
M25.19,Fistule articulaire - \ Siège non précisé \
M25.2,Hyperlaxité articulaire
M25.20,Hyperlaxité articulaire - \ Sièges multiples \
M25.21,Hyperlaxité articulaire - \ Région scapulaire \
M25.22,Hyperlaxité articulaire - \ Bras \
M25.23,Hyperlaxité articulaire - \ Avant-bras \
M25.24,Hyperlaxité articulaire - \ Main \
M25.25,Hyperlaxité articulaire - \ Région pelvienne et cuisse \
M25.26,Hyperlaxité articulaire - \ Jambe \
M25.27,Hyperlaxité articulaire - \ Cheville et pied \
M25.28,Hyperlaxité articulaire - \ Autres \
M25.29,Hyperlaxité articulaire - \ Siège non précisé \
M25.3,Autres instabilités articulaires
M96.8,Autres affections du système ostéoarticulaire et des muscles après un acte à visée diagnostique et thérapeutique
M25.30,Autres instabilités articulaires - \ Sièges multiples \
M25.31,Autres instabilités articulaires - \ Région scapulaire \
M25.32,Autres instabilités articulaires - \ Bras \
M25.33,Autres instabilités articulaires - \ Avant-bras \
M25.34,Autres instabilités articulaires - \ Main \
M25.35,Autres instabilités articulaires - \ Région pelvienne et cuisse \
M25.36,Autres instabilités articulaires - \ Jambe \
M25.37,Autres instabilités articulaires - \ Cheville et pied \
M25.38,Autres instabilités articulaires - \ Autres \
M25.39,Autres instabilités articulaires - \ Siège non précisé \
M25.4,Épanchement articulaire
M25.40,Épanchement articulaire - \ Sièges multiples \
M25.41,Épanchement articulaire - \ Région scapulaire \
M25.42,Épanchement articulaire - \ Bras \
M25.43,Épanchement articulaire - \ Avant-bras \
M25.44,Épanchement articulaire - \ Main \
M25.45,Épanchement articulaire - \ Région pelvienne et cuisse \
M25.46,Épanchement articulaire - \ Jambe \
M25.47,Épanchement articulaire - \ Cheville et pied \
M25.48,Épanchement articulaire - \ Autres \
M25.49,Épanchement articulaire - \ Siège non précisé \
M25.5,Douleur articulaire
M25.50,Douleur articulaire - \ Sièges multiples \
M25.51,Douleur articulaire - \ Région scapulaire \
M25.52,Douleur articulaire - \ Bras \
M25.53,Douleur articulaire - \ Avant-bras \
M25.54,Douleur articulaire - \ Main \
M25.55,Douleur articulaire - \ Région pelvienne et cuisse \
M25.56,Douleur articulaire - \ Jambe \
M25.57,Douleur articulaire - \ Cheville et pied \
M25.58,Douleur articulaire - \ Autres \
M25.59,Douleur articulaire - \ Siège non précisé \
M25.60,"Raideur articulaire, non classée ailleurs - \ Sièges multiples \"
M25.61,"Raideur articulaire, non classée ailleurs - \ Région scapulaire \"
M25.62,"Raideur articulaire, non classée ailleurs - \ Bras \"
M25.63,"Raideur articulaire, non classée ailleurs - \ Avant-bras \"
M25.64,"Raideur articulaire, non classée ailleurs - \ Main \"
M25.65,"Raideur articulaire, non classée ailleurs - \ Région pelvienne et cuisse \"
M25.66,"Raideur articulaire, non classée ailleurs - \ Jambe \"
M25.67,"Raideur articulaire, non classée ailleurs - \ Cheville et pied \"
M25.68,"Raideur articulaire, non classée ailleurs - \ Autres \"
M25.69,"Raideur articulaire, non classée ailleurs - \ Siège non précisé \"
M25.7,Ostéophyte
M25.70,Ostéophyte - \ Sièges multiples \
M25.71,Ostéophyte - \ Région scapulaire \
M25.72,Ostéophyte - \ Bras \
M25.73,Ostéophyte - \ Avant-bras \
M25.74,Ostéophyte - \ Main \
M25.75,Ostéophyte - \ Région pelvienne et cuisse \
M25.76,Ostéophyte - \ Jambe \
M25.77,Ostéophyte - \ Cheville et pied \
M25.78,Ostéophyte - \ Autres \
M25.79,Ostéophyte - \ Siège non précisé \
M25.8,Autres affections articulaires précisées
M25.80,Autres affections articulaires précisées - \ Sièges multiples \
M25.81,Autres affections articulaires précisées - \ Région scapulaire \
M25.82,Autres affections articulaires précisées - \ Bras \
M25.83,Autres affections articulaires précisées - \ Avant-bras \
M25.84,Autres affections articulaires précisées - \ Main \
M25.85,Autres affections articulaires précisées - \ Région pelvienne et cuisse \
M25.86,Autres affections articulaires précisées - \ Jambe \
M25.87,Autres affections articulaires précisées - \ Cheville et pied \
M25.88,Autres affections articulaires précisées - \ Autres \
M25.89,Autres affections articulaires précisées - \ Siège non précisé \
M25.9,"Affection articulaire, sans précision"
M25.90,"Affection articulaire, sans précision - \ Sièges multiples \"
M25.91,"Affection articulaire, sans précision - \ Région scapulaire \"
M25.92,"Affection articulaire, sans précision - \ Bras \"
M25.93,"Affection articulaire, sans précision - \ Avant-bras \"
M25.94,"Affection articulaire, sans précision - \ Main \"
M25.95,"Affection articulaire, sans précision - \ Région pelvienne et cuisse \"
M25.96,"Affection articulaire, sans précision - \ Jambe \"
M25.97,"Affection articulaire, sans précision - \ Cheville et pied \"
M25.98,"Affection articulaire, sans précision - \ Autres \"
M25.99,"Affection articulaire, sans précision - \ Siège non précisé \"
M30,Périartérite noueuse et affections apparentées
M30.1,Périartérite avec atteinte pulmonaire [Churg–Strauss]
M30.2,Périartérite juvénile
M30.3,Syndrome adéno-cutanéo-muqueux [Kawasaki]
M30.8,Autres affections apparentées à la périartérite noueuse
M31,Autres vasculopathies nécrosantes
N08.5,Glomérulopathie au cours d'affections disséminées du tissu conjonctif
M31.5,Artérite à cellules géantes avec polymyalgie rhumatismale
M31.6,Autres artérites à cellules géantes
M31.7,Polyangéite microscopique
M31.8,Autres vasculopathies nécrosantes précisées
M31.9,"Vasculopathie nécrosante, sans précision"
M32.0,Lupus érythémateux disséminé médicamenteux
N16.4,Maladie rénale tubulo-interstitielle au cours d'affections disséminées du tissu conjonctif
M32.8,Autres formes de lupus érythémateux disséminé
M32.9,"Lupus érythémateux disséminé, sans précision"
M33.1,Autres dermatomyosites
M33.9,"Dermatopolymyosite, sans précision"
M34.0,Sclérodermie systémique progressive
M34.1,Syndrome CR(E)ST
M34.2,Sclérodermie systémique due à des médicaments et des produits chimiques
M34.9,"Sclérodermie systémique, sans précision"
M35,Autres atteintes systémiques du tissu conjonctif
M35.1,Autres syndromes de chevauchement
M35.3,Polymyalgie rhumatismale
M35.4,Fasciite disséminée (à éosinophiles)
M35.5,Fibrosclérose multifocale
M35.8,Autres atteintes systémiques précisées du tissu conjonctif
M36,Atteintes systémiques du tissu conjonctif au cours de maladies classées ailleurs
M36.0,Dermato(poly)myosite au cours de maladies tumorales 
M36.2,Arthropathie hémophilique 
M36.3,Arthropathie au cours d'autres maladies du sang classées ailleurs 
M36.8,Atteintes systémiques du tissu conjonctif au cours d'autres maladies classées ailleurs
M40,Cyphose et lordose
M40-M43,Dorsopathies avec déformation
M41,Scoliose
M96,"Affections du système ostéoarticulaire et des muscles après un acte à visée diagnostique et thérapeutique, non classées ailleurs"
Q76.4,"Autres malformations congénitales du rachis, non associées à une scoliose"
M40-M430,Dorsopathies avec déformation - \ Localisations vertébrales multiples \
M40-M431,Dorsopathies avec déformation - \ Région occipito-atloïdo-axoïdienne \
M40-M432,Dorsopathies avec déformation - \ Région cervicale \
M40-M433,Dorsopathies avec déformation - \ Région cervicodorsal \
M40-M434,Dorsopathies avec déformation - \ Région dorsale \
M40-M435,Dorsopathies avec déformation - \ Région dorsolombaire \
M40-M436,Dorsopathies avec déformation - \ Région lombaire \
M40-M437,Dorsopathies avec déformation - \ Région lombosacrée \
M40-M438,Dorsopathies avec déformation - \ Région sacrée et sacrococcygienne \
M40-M439,Dorsopathies avec déformation - \ Localisation non précisée \
M40.0,Cyphose posturale
M42,Ostéochondrite vertébrale
M40.00,Cyphose posturale - \ Localisations vertébrales multiples \
M40.01,Cyphose posturale - \ Région occipito-atloïdo-axoïdienne \
M40.02,Cyphose posturale - \ Région cervicale \
M40.03,Cyphose posturale - \ Région cervicodorsal \
M40.04,Cyphose posturale - \ Région dorsale \
M40.05,Cyphose posturale - \ Région dorsolombaire \
M40.06,Cyphose posturale - \ Région lombaire \
M40.07,Cyphose posturale - \ Région lombosacrée \
M40.08,Cyphose posturale - \ Région sacrée et sacrococcygienne \
M40.09,Cyphose posturale - \ Localisation non précisée \
M40.1,Autres cyphoses secondaires
M40.10,Autres cyphoses secondaires - \ Localisations vertébrales multiples \
M40.11,Autres cyphoses secondaires - \ Région occipito-atloïdo-axoïdienne \
M40.12,Autres cyphoses secondaires - \ Région cervicale \
M40.13,Autres cyphoses secondaires - \ Région cervicodorsal \
M40.14,Autres cyphoses secondaires - \ Région dorsale \
M40.15,Autres cyphoses secondaires - \ Région dorsolombaire \
M40.16,Autres cyphoses secondaires - \ Région lombaire \
M40.17,Autres cyphoses secondaires - \ Région lombosacrée \
M40.18,Autres cyphoses secondaires - \ Région sacrée et sacrococcygienne \
M40.19,Autres cyphoses secondaires - \ Localisation non précisée \
M40.2,Cyphoses autres et non précisées
M40.20,Cyphoses autres et non précisées - \ Localisations vertébrales multiples \
M40.21,Cyphoses autres et non précisées - \ Région occipito-atloïdo-axoïdienne \
M40.22,Cyphoses autres et non précisées - \ Région cervicale \
M40.23,Cyphoses autres et non précisées - \ Région cervicodorsal \
M40.24,Cyphoses autres et non précisées - \ Région dorsale \
M40.25,Cyphoses autres et non précisées - \ Région dorsolombaire \
M40.26,Cyphoses autres et non précisées - \ Région lombaire \
M40.27,Cyphoses autres et non précisées - \ Région lombosacrée \
M40.28,Cyphoses autres et non précisées - \ Région sacrée et sacrococcygienne \
M40.29,Cyphoses autres et non précisées - \ Localisation non précisée \
M40.3,Syndrome du dos plat
M40.30,Syndrome du dos plat - \ Localisations vertébrales multiples \
M40.31,Syndrome du dos plat - \ Région occipito-atloïdo-axoïdienne \
M40.32,Syndrome du dos plat - \ Région cervicale \
M40.33,Syndrome du dos plat - \ Région cervicodorsal \
M40.34,Syndrome du dos plat - \ Région dorsale \
M40.35,Syndrome du dos plat - \ Région dorsolombaire \
M40.36,Syndrome du dos plat - \ Région lombaire \
M40.37,Syndrome du dos plat - \ Région lombosacrée \
M40.38,Syndrome du dos plat - \ Région sacrée et sacrococcygienne \
M40.39,Syndrome du dos plat - \ Localisation non précisée \
M40.4,Autres lordoses
M40.40,Autres lordoses - \ Localisations vertébrales multiples \
M40.41,Autres lordoses - \ Région occipito-atloïdo-axoïdienne \
M40.42,Autres lordoses - \ Région cervicale \
M40.43,Autres lordoses - \ Région cervicodorsal \
M40.44,Autres lordoses - \ Région dorsale \
M40.45,Autres lordoses - \ Région dorsolombaire \
M40.46,Autres lordoses - \ Région lombaire \
M40.47,Autres lordoses - \ Région lombosacrée \
M40.48,Autres lordoses - \ Région sacrée et sacrococcygienne \
M40.49,Autres lordoses - \ Localisation non précisée \
M40.5,"Lordose, sans précision"
M40.50,"Lordose, sans précision - \ Localisations vertébrales multiples \"
M40.51,"Lordose, sans précision - \ Région occipito-atloïdo-axoïdienne \"
M40.52,"Lordose, sans précision - \ Région cervicale \"
M40.53,"Lordose, sans précision - \ Région cervicodorsal \"
M40.54,"Lordose, sans précision - \ Région dorsale \"
M40.55,"Lordose, sans précision - \ Région dorsolombaire \"
M40.56,"Lordose, sans précision - \ Région lombaire \"
M40.57,"Lordose, sans précision - \ Région lombosacrée \"
M40.58,"Lordose, sans précision - \ Région sacrée et sacrococcygienne \"
M40.59,"Lordose, sans précision - \ Localisation non précisée \"
Q67.5,Anomalie morphologique congénitale du rachis
Q76.3,Scoliose congénitale due à une malformation osseuse congénitale
M41.0,Scoliose idiopathique infantile
M41.00,Scoliose idiopathique infantile - \ Localisations vertébrales multiples \
M41.01,Scoliose idiopathique infantile - \ Région occipito-atloïdo-axoïdienne \
M41.02,Scoliose idiopathique infantile - \ Région cervicale \
M41.03,Scoliose idiopathique infantile - \ Région cervicodorsal \
M41.04,Scoliose idiopathique infantile - \ Région dorsale \
M41.05,Scoliose idiopathique infantile - \ Région dorsolombaire \
M41.06,Scoliose idiopathique infantile - \ Région lombaire \
M41.07,Scoliose idiopathique infantile - \ Région lombosacrée \
M41.08,Scoliose idiopathique infantile - \ Région sacrée et sacrococcygienne \
M41.09,Scoliose idiopathique infantile - \ Localisation non précisée \
M41.1,Scoliose juvénile idiopathique
M41.10,Scoliose juvénile idiopathique - \ Localisations vertébrales multiples \
M41.11,Scoliose juvénile idiopathique - \ Région occipito-atloïdo-axoïdienne \
M41.12,Scoliose juvénile idiopathique - \ Région cervicale \
M41.13,Scoliose juvénile idiopathique - \ Région cervicodorsal \
M41.14,Scoliose juvénile idiopathique - \ Région dorsale \
M41.15,Scoliose juvénile idiopathique - \ Région dorsolombaire \
M41.16,Scoliose juvénile idiopathique - \ Région lombaire \
M41.17,Scoliose juvénile idiopathique - \ Région lombosacrée \
M41.18,Scoliose juvénile idiopathique - \ Région sacrée et sacrococcygienne \
M41.19,Scoliose juvénile idiopathique - \ Localisation non précisée \
M41.2,Autres scolioses idiopathiques
M41.20,Autres scolioses idiopathiques - \ Localisations vertébrales multiples \
M41.21,Autres scolioses idiopathiques - \ Région occipito-atloïdo-axoïdienne \
M41.22,Autres scolioses idiopathiques - \ Région cervicale \
M41.23,Autres scolioses idiopathiques - \ Région cervicodorsal \
M41.24,Autres scolioses idiopathiques - \ Région dorsale \
M41.25,Autres scolioses idiopathiques - \ Région dorsolombaire \
M41.26,Autres scolioses idiopathiques - \ Région lombaire \
M41.27,Autres scolioses idiopathiques - \ Région lombosacrée \
M41.28,Autres scolioses idiopathiques - \ Région sacrée et sacrococcygienne \
M41.29,Autres scolioses idiopathiques - \ Localisation non précisée \
M41.3,Scoliose par anomalie dorsale
M41.30,Scoliose par anomalie dorsale - \ Localisations vertébrales multiples \
M41.31,Scoliose par anomalie dorsale - \ Région occipito-atloïdo-axoïdienne \
M41.32,Scoliose par anomalie dorsale - \ Région cervicale \
M41.33,Scoliose par anomalie dorsale - \ Région cervicodorsal \
M41.34,Scoliose par anomalie dorsale - \ Région dorsale \
M41.35,Scoliose par anomalie dorsale - \ Région dorsolombaire \
M41.36,Scoliose par anomalie dorsale - \ Région lombaire \
M41.37,Scoliose par anomalie dorsale - \ Région lombosacrée \
M41.38,Scoliose par anomalie dorsale - \ Région sacrée et sacrococcygienne \
M41.39,Scoliose par anomalie dorsale - \ Localisation non précisée \
M41.4,Scoliose neuromusculaire
M41.40,Scoliose neuromusculaire - \ Localisations vertébrales multiples \
M41.41,Scoliose neuromusculaire - \ Région occipito-atloïdo-axoïdienne \
M41.42,Scoliose neuromusculaire - \ Région cervicale \
M41.43,Scoliose neuromusculaire - \ Région cervicodorsal \
M41.44,Scoliose neuromusculaire - \ Région dorsale \
M41.45,Scoliose neuromusculaire - \ Région dorsolombaire \
M41.46,Scoliose neuromusculaire - \ Région lombaire \
M41.47,Scoliose neuromusculaire - \ Région lombosacrée \
M41.48,Scoliose neuromusculaire - \ Région sacrée et sacrococcygienne \
M41.49,Scoliose neuromusculaire - \ Localisation non précisée \
M41.5,Autres formes de scoliose secondaire
M41.50,Autres formes de scoliose secondaire - \ Localisations vertébrales multiples \
M41.51,Autres formes de scoliose secondaire - \ Région occipito-atloïdo-axoïdienne \
M41.52,Autres formes de scoliose secondaire - \ Région cervicale \
